data_i;cod_staz;cod_aggr;prec24;cl_prec24;prec01;prec06;cl_prec06;prec12;cl_prec12;ggneve;storm;ggstorm
2021-01-01 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-01-01T00:00:00');((24, 1), 0.0, '2021-01-01T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-01-01T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-01-02 00:00:00;6660;4;((24, 1), 0.8, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-01-02T12:00:00');((24, 1), 0.8, '2021-01-02T12:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-01-02T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-01-03 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-01-03T00:00:00');((24, 1), 0.0, '2021-01-03T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-01-03T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-01-04 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-01-04T00:00:00');((24, 1), 0.0, '2021-01-04T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-01-04T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-01-05 00:00:00;6660;4;((24, 1), 1.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.6, '2021-01-05T11:00:00');((24, 1), 0.6, '2021-01-05T06:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.6, '2021-01-05T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-01-06 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-01-06T00:00:00');((24, 1), 0.0, '2021-01-06T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-01-06T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-01-07 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-01-07T00:00:00');((24, 1), 0.0, '2021-01-07T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-01-07T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-01-08 00:00:00;6660;4;((24, 1), 1.4, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.4, '2021-01-08T10:00:00');((24, 1), 0.6, '2021-01-08T06:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 1.0, '2021-01-08T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-01-09 00:00:00;6660;4;((24, 1), 5.8, None, None);(23, 1, 0, 0, 0, 0);((24, 1), 1.2, '2021-01-09T13:00:00');((24, 1), 5.2, '2021-01-09T12:00:00');(3, 0, 1, 0, 0, 0);((24, 1), 5.6, '2021-01-09T12:00:00');(1, 0, 1, 0, 0, 0);;;
2021-01-10 00:00:00;6660;4;((24, 1), 8.4, None, None);(22, 2, 0, 0, 0, 0);((24, 1), 1.6, '2021-01-10T18:00:00');((24, 1), 3.4, '2021-01-10T12:00:00');(1, 3, 0, 0, 0, 0);((24, 1), 5.4, '2021-01-10T12:00:00');(0, 1, 1, 0, 0, 0);;;
