data_i;cod_staz;cod_aggr;radglob
2021-01-01 00:00:00;6660;4;((24, 1), 29.1, 3.9, 14.0, 0.0)
2021-01-02 00:00:00;6660;4;((24, 1), 59.6, 8.4, 24.0, 0.0)
2021-01-03 00:00:00;6660;4;((24, 1), 52.3, 7.4, 21.0, 0.0)
2021-01-04 00:00:00;6660;4;((24, 1), 66.8, 10.0, 30.0, 0.0)
2021-01-05 00:00:00;6660;4;((24, 1), 33.9, 6.1, 21.0, 0.0)
2021-01-06 00:00:00;6660;4;((24, 1), 71.7, 10.3, 29.0, 0.0)
2021-01-07 00:00:00;6660;4;((24, 1), 47.9, 6.8, 19.0, 0.0)
2021-01-08 00:00:00;6660;4;((24, 1), 19.4, 2.9, 11.0, 0.0)
2021-01-09 00:00:00;6660;4;((24, 1), 12.6, 1.6, 5.0, 0.0)
2021-01-10 00:00:00;6660;4;((24, 1), 7.7, 1.2, 3.0, 0.0)
2021-01-11 00:00:00;6660;4;((24, 1), 32.9, 4.7, 14.0, 0.0)
2021-01-12 00:00:00;6660;4;((24, 1), 65.9, 9.1, 27.0, 0.0)
2021-01-13 00:00:00;6660;4;((24, 1), 87.2, 11.9, 32.0, 0.0)
2021-01-14 00:00:00;6660;4;((24, 1), 87.7, 11.9, 32.0, 0.0)
2021-01-15 00:00:00;6660;4;((24, 1), 45.5, 6.3, 18.0, 0.0)
2021-01-16 00:00:00;6660;4;((24, 1), 63.9, 9.1, 27.0, 0.0)
2021-01-17 00:00:00;6660;4;((24, 1), 43.6, 6.3, 17.0, 0.0)
2021-01-18 00:00:00;6660;4;((24, 1), 87.7, 12.1, 33.0, 0.0)
2021-01-19 00:00:00;6660;4;((24, 1), 94.9, 12.7, 34.0, 0.0)
2021-01-20 00:00:00;6660;4;((24, 1), 85.2, 12.0, 36.0, 0.0)
2021-01-21 00:00:00;6660;4;((24, 1), 40.2, 5.5, 18.0, 0.0)
2021-01-22 00:00:00;6660;4;((24, 1), 38.7, 5.3, 17.0, 0.0)
2021-01-23 00:00:00;6660;4;((24, 1), 75.6, 10.9, 35.0, 0.0)
2021-01-24 00:00:00;6660;4;((24, 1), 15.5, 2.2, 7.0, 0.0)
2021-01-25 00:00:00;6660;4;((24, 1), 29.1, 3.9, 10.0, 0.0)
2021-01-26 00:00:00;6660;4;((24, 1), 102.2, 13.3, 36.0, 0.0)
2021-01-27 00:00:00;6660;4;((24, 1), 93.5, 12.6, 34.0, 0.0)
2021-01-28 00:00:00;6660;4;((24, 1), 93.5, 13.1, 36.0, 0.0)
2021-01-29 00:00:00;6660;4;((24, 1), 51.3, 6.7, 20.0, 0.0)
2021-01-30 00:00:00;6660;4;((24, 1), 103.2, 13.9, 37.0, 0.0)
2021-01-31 00:00:00;6660;4;((24, 1), 73.6, 11.3, 35.0, 0.0)
2021-02-01 00:00:00;6660;4;((24, 1), 93.5, 12.3, 35.0, 0.0)
2021-02-02 00:00:00;6660;4;((24, 1), 43.6, 5.9, 19.0, 0.0)
2021-02-03 00:00:00;6660;4;((24, 1), 111.4, 14.2, 38.0, 0.0)
2021-02-04 00:00:00;6660;4;((24, 1), 110.9, 14.1, 39.0, 0.0)
2021-02-05 00:00:00;6660;4;((24, 1), 103.2, 13.8, 42.0, 0.0)
2021-02-06 00:00:00;6660;4;((24, 1), 82.3, 11.5, 34.0, 0.0)
2021-02-07 00:00:00;6660;4;((24, 1), 43.1, 5.4, 18.0, 0.0)
2021-02-08 00:00:00;6660;4;((24, 1), 77.0, 9.3, 28.0, 0.0)
2021-02-09 00:00:00;6660;4;((24, 1), 85.7, 11.0, 33.0, 0.0)
2021-02-10 00:00:00;6660;4;((24, 1), 60.5, 7.5, 21.0, 0.0)
2021-02-11 00:00:00;6660;4;((24, 1), 118.7, 15.4, 41.0, 0.0)
2021-02-12 00:00:00;6660;4;((24, 1), 24.2, 3.2, 8.0, 0.0)
2021-02-13 00:00:00;6660;4;((24, 1), 11.6, 1.8, 6.0, 0.0)
2021-02-14 00:00:00;6660;4;((24, 1), 82.8, 11.6, 36.0, 0.0)
2021-02-15 00:00:00;6660;4;((24, 1), 145.3, 18.0, 46.0, 0.0)
2021-02-16 00:00:00;6660;4;((24, 1), 144.3, 17.5, 45.0, 0.0)
2021-02-17 00:00:00;6660;4;((24, 1), 124.5, 16.6, 45.0, 0.0)
2021-02-18 00:00:00;6660;4;((24, 1), 141.4, 17.3, 46.0, 0.0)
2021-02-19 00:00:00;6660;4;((24, 1), 132.2, 16.3, 44.0, 0.0)
2021-02-20 00:00:00;6660;4;((24, 1), 145.8, 17.5, 46.0, 0.0)
2021-02-21 00:00:00;6660;4;((24, 1), 148.7, 17.7, 46.0, 0.0)
2021-02-22 00:00:00;6660;4;((24, 1), 104.6, 12.5, 35.0, 0.0)
2021-02-23 00:00:00;6660;4;((24, 1), 137.1, 16.7, 44.0, 0.0)
2021-02-24 00:00:00;6660;4;((24, 1), 155.5, 18.5, 48.0, 0.0)
2021-02-25 00:00:00;6660;4;((24, 1), 153.0, 18.0, 47.0, 0.0)
2021-02-26 00:00:00;6660;4;((24, 1), 149.6, 17.6, 46.0, 0.0)
2021-02-27 00:00:00;6660;4;((24, 1), 152.6, 18.1, 47.0, 0.0)
2021-02-28 00:00:00;6660;4;((24, 1), 147.2, 18.5, 52.0, 0.0)
2021-03-01 00:00:00;6660;4;((24, 1), 174.3, 20.1, 52.0, 0.0)
2021-03-02 00:00:00;6660;4;((24, 1), 171.4, 19.8, 51.0, 0.0)
2021-03-03 00:00:00;6660;4;((24, 1), 174.8, 20.1, 52.0, 0.0)
2021-03-04 00:00:00;6660;4;((24, 1), 172.9, 19.7, 51.0, 0.0)
2021-03-05 00:00:00;6660;4;((24, 1), 149.6, 17.6, 48.0, 0.0)
2021-03-06 00:00:00;6660;4;((24, 1), 56.7, 8.3, 29.0, 0.0)
2021-03-07 00:00:00;6660;4;((24, 1), 90.6, 11.1, 31.0, 0.0)
2021-03-08 00:00:00;6660;4;((24, 1), 47.0, 5.7, 19.0, 0.0)
2021-03-09 00:00:00;6660;4;((24, 1), 38.7, 5.2, 14.0, 0.0)
2021-03-10 00:00:00;6660;4;((24, 1), 140.4, 15.5, 47.0, 0.0)
2021-03-11 00:00:00;6660;4;((24, 1), 173.4, 20.4, 54.0, 0.0)
2021-03-12 00:00:00;6660;4;((24, 1), 87.2, 10.7, 36.0, 0.0)
2021-03-13 00:00:00;6660;4;((24, 1), 195.2, 21.5, 56.0, 0.0)
2021-03-14 00:00:00;6660;4;((24, 1), 127.9, 15.8, 48.0, 0.0)
2021-03-15 00:00:00;6660;4;((24, 1), 196.6, 22.3, 57.0, 0.0)
2021-03-16 00:00:00;6660;4;((24, 1), 101.7, 13.7, 52.0, 0.0)
2021-03-17 00:00:00;6660;4;((24, 1), 144.8, 18.1, 48.0, 0.0)
2021-03-18 00:00:00;6660;4;((24, 1), 110.4, 16.6, 57.0, 0.0)
2021-03-19 00:00:00;6660;4;((24, 1), 165.6, 20.9, 62.0, 0.0)
2021-03-20 00:00:00;6660;4;((24, 1), 107.5, 13.1, 44.0, 0.0)
2021-03-21 00:00:00;6660;4;((24, 1), 65.9, 7.6, 26.0, 0.0)
2021-03-22 00:00:00;6660;4;((24, 1), 131.2, 13.8, 37.0, 0.0)
2021-03-23 00:00:00;6660;4;((24, 1), 148.2, 15.9, 42.0, 0.0)
2021-03-24 00:00:00;6660;4;((24, 1), 229.6, 24.5, 62.0, 0.0)
2021-03-25 00:00:00;6660;4;((24, 1), 231.0, 24.4, 62.0, 0.0)
2021-03-26 00:00:00;6660;4;((24, 1), 223.3, 23.7, 60.0, 0.0)
2021-03-27 00:00:00;6660;4;((24, 1), 153.0, 15.9, 44.0, 0.0)
2021-03-28 00:00:00;6660;4;((24, 1), 227.1, 23.9, 61.0, 0.0)
2021-03-29 00:00:00;6660;4;((24, 1), 220.8, 23.5, 61.0, 0.0)
2021-03-30 00:00:00;6660;4;((24, 1), 229.6, 23.9, 61.0, 0.0)
2021-03-31 00:00:00;6660;4;((24, 1), 236.8, 24.5, 62.0, 0.0)
2021-04-01 00:00:00;6660;4;((24, 1), 224.2, 24.5, 62.0, 0.0)
2021-04-02 00:00:00;6660;4;((24, 1), 231.0, 24.6, 63.0, 0.0)
2021-04-03 00:00:00;6660;4;((24, 1), 125.4, 18.0, 56.0, 0.0)
2021-04-04 00:00:00;6660;4;((24, 1), 148.7, 15.7, 57.0, 0.0)
2021-04-05 00:00:00;6660;4;((24, 1), 258.6, 26.3, 66.0, 0.0)
2021-04-06 00:00:00;6660;4;((24, 1), 97.3, 11.6, 32.0, 0.0)
2021-04-07 00:00:00;6660;4;((24, 1), 155.9, 18.3, 59.0, 0.0)
2021-04-08 00:00:00;6660;4;((24, 1), 276.5, 27.7, 70.0, 0.0)
2021-04-09 00:00:00;6660;4;((24, 1), 265.9, 26.8, 68.0, 0.0)
2021-04-10 00:00:00;6660;4;((24, 1), 250.9, 26.3, 67.0, 0.0)
2021-04-11 00:00:00;6660;4;((24, 1), 143.8, 16.9, 64.0, 0.0)
2021-04-12 00:00:00;6660;4;((24, 1), 168.1, 23.6, 72.0, 0.0)
2021-04-13 00:00:00;6660;4;((24, 1), 129.3, 19.3, 66.0, 0.0)
2021-04-14 00:00:00;6660;4;((24, 1), 161.3, 17.4, 53.0, 0.0)
2021-04-15 00:00:00;6660;4;((24, 1), 141.9, 18.1, 66.0, 0.0)
2021-04-16 00:00:00;6660;4;((24, 1), 220.4, 22.3, 61.0, 0.0)
2021-04-17 00:00:00;6660;4;((24, 1), 197.1, 21.3, 62.0, 0.0)
2021-04-18 00:00:00;6660;4;((24, 1), 156.9, 19.3, 62.0, 0.0)
2021-04-19 00:00:00;6660;4;((24, 1), 124.0, 13.4, 45.0, 0.0)
2021-04-20 00:00:00;6660;4;((24, 1), 202.0, 20.6, 69.0, 0.0)
2021-04-21 00:00:00;6660;4;((24, 1), 242.6, 24.3, 63.0, 0.0)
2021-04-22 00:00:00;6660;4;((24, 1), 85.7, 10.6, 37.0, 0.0)
2021-04-23 00:00:00;6660;4;((24, 1), 212.1, 22.5, 69.0, 0.0)
2021-04-24 00:00:00;6660;4;((24, 1), 301.7, 28.9, 73.0, 0.0)
2021-04-25 00:00:00;6660;4;((24, 1), 300.3, 28.7, 72.0, 0.0)
2021-04-26 00:00:00;6660;4;((24, 1), 211.6, 21.7, 64.0, 0.0)
2021-04-27 00:00:00;6660;4;((24, 1), 158.4, 19.8, 59.0, 0.0)
2021-04-28 00:00:00;6660;4;((24, 1), 78.9, 7.9, 23.0, 0.0)
2021-04-29 00:00:00;6660;4;((24, 1), 121.1, 11.6, 34.0, 0.0)
2021-04-30 00:00:00;6660;4;((24, 1), 277.0, 28.2, 72.0, 0.0)
2021-05-01 00:00:00;6660;4;((24, 1), 163.2, 17.4, 48.0, 0.0)
2021-05-02 00:00:00;6660;4;((24, 1), 250.9, 24.4, 72.0, 0.0)
2021-05-03 00:00:00;6660;4;((24, 1), 225.7, 22.7, 66.0, 0.0)
2021-05-04 00:00:00;6660;4;((24, 1), 201.0, 22.2, 56.0, 0.0)
2021-05-05 00:00:00;6660;4;((24, 1), 266.8, 25.8, 70.0, 0.0)
2021-05-06 00:00:00;6660;4;((24, 1), 314.3, 29.1, 73.0, 0.0)
2021-05-07 00:00:00;6660;4;((24, 1), 208.2, 23.7, 73.0, 0.0)
2021-05-08 00:00:00;6660;4;((24, 1), 241.7, 23.6, 67.0, 0.0)
2021-05-09 00:00:00;6660;4;((24, 1), 292.0, 28.7, 72.0, 0.0)
2021-05-10 00:00:00;6660;4;((24, 1), 309.5, 29.0, 72.0, 0.0)
2021-05-11 00:00:00;6660;4;((24, 1), 224.2, 25.4, 70.0, 0.0)
2021-05-12 00:00:00;6660;4;((24, 1), 276.1, 26.8, 70.0, 0.0)
2021-05-13 00:00:00;6660;4;((24, 1), 190.3, 17.6, 53.0, 0.0)
2021-05-14 00:00:00;6660;4;((24, 1), 212.1, 23.9, 71.0, 0.0)
2021-05-15 00:00:00;6660;4;((24, 1), 230.0, 23.3, 64.0, 0.0)
2021-05-16 00:00:00;6660;4;((24, 1), 80.4, 7.8, 27.0, 0.0)
2021-05-17 00:00:00;6660;4;((24, 1), 253.8, 24.6, 67.0, 0.0)
2021-05-18 00:00:00;6660;4;((24, 1), 308.0, 29.2, 76.0, 0.0)
2021-05-19 00:00:00;6660;4;((24, 1), 168.1, 18.1, 64.0, 0.0)
2021-05-20 00:00:00;6660;4;((24, 1), 305.1, 27.5, 76.0, 0.0)
2021-05-21 00:00:00;6660;4;((24, 1), 321.6, 29.6, 74.0, 0.0)
2021-05-22 00:00:00;6660;4;((24, 1), 202.9, 22.1, 63.0, 0.0)
2021-05-23 00:00:00;6660;4;((24, 1), 281.4, 29.1, 74.0, 0.0)
2021-05-24 00:00:00;6660;4;((24, 1), 223.7, 24.0, 68.0, 0.0)
2021-05-25 00:00:00;6660;4;((24, 1), 288.6, 28.4, 76.0, 0.0)
2021-05-26 00:00:00;6660;4;((24, 1), 291.1, 27.8, 73.0, 0.0)
2021-05-27 00:00:00;6660;4;((24, 1), 313.8, 29.5, 75.0, 0.0)
2021-05-28 00:00:00;6660;4;((24, 1), 328.8, 29.5, 76.0, 0.0)
2021-05-29 00:00:00;6660;4;((24, 1), 319.6, 29.5, 75.0, 0.0)
2021-05-30 00:00:00;6660;4;((24, 1), 203.9, 20.9, 63.0, 0.0)
2021-05-31 00:00:00;6660;4;((24, 1), 295.4, 25.0, 63.0, 0.0)
2021-06-01 00:00:00;6660;4;((24, 1), 343.4, 30.4, 77.0, 0.0)
2021-06-02 00:00:00;6660;4;((24, 1), 295.9, 28.9, 79.0, 0.0)
2021-06-03 00:00:00;6660;4;((24, 1), 315.3, 28.5, 78.0, 0.0)
2021-06-04 00:00:00;6660;4;((24, 1), 323.0, 29.2, 74.0, 0.0)
2021-06-05 00:00:00;6660;4;((24, 1), 208.7, 22.7, 64.0, 0.0)
2021-06-06 00:00:00;6660;4;((24, 1), 191.8, 19.5, 59.0, 0.0)
2021-06-07 00:00:00;6660;4;((24, 1), 181.6, 18.8, 57.0, 0.0)
2021-06-08 00:00:00;6660;4;((24, 1), 190.8, 20.0, 56.0, 0.0)
2021-06-09 00:00:00;6660;4;((24, 1), 273.1, 25.1, 71.0, 0.0)
