data_i;cod_staz;cod_aggr;tmxgg;cl_tmxgg;tmngg;cl_tmngg;tmdgg;tmdgg1;deltagg;day_gelo;cl_tist;t00;t01;t02;t03;t04;t05;t06;t07;t08;t09;t10;t11;t12;t13;t14;t15;t16;t17;t18;t19;t20;t21;t22;t23
2021-01-01 00:00:00;6660;4;((24, 1), 8.8, 2.5, 4.4, '2021-01-01T15:00:00');;((24, 1), 0.2, 2.4, 3.3, '2021-01-01T03:00:00');;((24, 1), 3.8, 2.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-02 00:00:00;6660;4;((24, 1), 13.1, 3.4, 7.7, '2021-01-02T14:00:00');;((24, 1), 1.5, 3.3, 6.3, '2021-01-02T04:00:00');;((24, 1), 7.0, 3.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-03 00:00:00;6660;4;((24, 1), 13.5, 2.4, 8.9, '2021-01-03T13:00:00');;((24, 1), 4.8, 2.3, 7.9, '2021-01-03T23:00:00');;((24, 1), 8.4, 2.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-04 00:00:00;6660;4;((24, 1), 14.5, 3.7, 7.5, '2021-01-04T11:00:00');;((24, 1), 3.3, 3.2, 6.2, '2021-01-04T23:00:00');;((24, 1), 6.8, 3.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-05 00:00:00;6660;4;((24, 1), 10.3, 2.2, 5.4, '2021-01-05T14:00:00');;((24, 1), 2.0, 1.9, 4.5, '2021-01-05T03:00:00');;((24, 1), 4.9, 2.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-06 00:00:00;6660;4;((24, 1), 13.7, 4.0, 7.1, '2021-01-06T11:00:00');;((24, 1), 1.5, 3.9, 5.5, '2021-01-06T06:00:00');;((24, 1), 6.2, 4.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-07 00:00:00;6660;4;((24, 1), 9.8, 2.7, 5.6, '2021-01-07T12:00:00');;((24, 1), 0.6, 2.8, 4.8, '2021-01-07T03:00:00');;((24, 1), 5.2, 2.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-08 00:00:00;6660;4;((24, 1), 6.2, 0.4, 5.4, '2021-01-08T15:00:00');;((24, 1), 4.5, 0.4, 5.1, '2021-01-08T08:00:00');;((24, 1), 5.3, 0.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-09 00:00:00;6660;4;((24, 1), 6.6, 0.9, 5.0, '2021-01-09T11:00:00');;((24, 1), 3.7, 0.8, 4.7, '2021-01-09T17:00:00');;((24, 1), 4.9, 0.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-10 00:00:00;6660;4;((24, 1), 5.8, 0.7, 4.5, '2021-01-10T14:00:00');;((24, 1), 3.1, 0.7, 4.3, '2021-01-10T18:00:00');;((24, 1), 4.4, 0.7);;;;;;;;;;;;;;;;;;;;;;;;;;;;
