data_i;cod_staz;cod_aggr;ur;ur00;ur01;ur02;ur03;ur04;ur05;ur06;cl_ur06;ur07;ur08;ur09;ur10;ur11;ur12;cl_ur12;ur13;ur14;ur15;ur16;ur17;ur18;ur19;ur20;ur21;ur22;ur23
2021-01-01 00:00:00;6660;4;((24, 1), 85.2, 4.3, (None, None), 94.0, 78.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-02 00:00:00;6660;4;((24, 1), 85.6, 8.9, (None, None), 98.0, 68.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-03 00:00:00;6660;4;((24, 1), 79.0, 10.2, (None, None), 94.0, 56.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-04 00:00:00;6660;4;((24, 1), 85.4, 13.3, (None, None), 99.0, 56.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-05 00:00:00;6660;4;((24, 1), 94.5, 4.4, (None, None), 100.0, 83.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-06 00:00:00;6660;4;((24, 1), 78.0, 18.1, (None, None), 100.0, 46.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-07 00:00:00;6660;4;((24, 1), 76.2, 9.5, (None, None), 88.0, 58.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-08 00:00:00;6660;4;((24, 1), 94.3, 2.7, (None, None), 98.0, 89.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-09 00:00:00;6660;4;((24, 1), 94.5, 5.1, (None, None), 100.0, 88.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-10 00:00:00;6660;4;((24, 1), 100.0, 0.0, (None, None), 100.0, 100.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-11 00:00:00;6660;4;((24, 1), 83.8, 5.3, (None, None), 96.0, 76.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-12 00:00:00;6660;4;((24, 1), 85.0, 12.0, (None, None), 99.0, 68.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-13 00:00:00;6660;4;((24, 1), 86.5, 15.5, (None, None), 100.0, 55.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-14 00:00:00;6660;4;((24, 1), 81.5, 17.4, (None, None), 100.0, 50.0);;;;;;;;;;;;;;;;;;;;;;;;;;
